model,precision,recall,f1_score,ROC_AUC,PR_AUC
Dummy Classifier,0.0,0.0,0.0,0.5,0.034
Logistic Regression,0.1791044776119403,0.8823529411764706,0.2977667493796526,0.9385047497259774,0.4297030345248936
Random Forest,0.9622641509433962,0.75,0.8429752066115702,0.9667785592497868,0.8671922169992179
