Model,Threshold,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Random Forest Default Threshold,0.5,0.9782608695652174,0.6617647058823529,0.7894736842105263,0.9743902995981002,0.8545028207353621
Random Forest Tuned Threshold,0.19,0.7534246575342466,0.8088235294117647,0.7801418439716312,0.9743902995981002,0.8545028207353621
